GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,ra,dec,sod,seen_by_fermi,name
240205B,23h25m54s -55° 08',3,Swift,y,y,y,y?,,0.824,351.475,-55.13333333333333,79986.78,True,bn240205926
240204A,06h56m44s +01° 02',3,Swift,y,y,y,,,,104.18333333333332,1.0333333333333334,54458.68,True,bn240204630
240115B,12h47m24s -35° 32',3,INTEGRAL,y,,,,,,191.85,-35.53333333333333,60355.09,True,bn240115698
240112C,18h02m35s +24° 29',3,Swift,y,y,y,,,,270.6458333333333,24.48333333333333,63444.97,True,bn240112734
231230A,16h20m47s +58° 07',3,Swift,y,y,,,,,245.1958333333333,58.11666666666667,5348.73,True,bn231230062
231220A,01h49m17s +77° 54',5,Swift,y,,,,,,27.32083333333333,77.9,58217.4,True,bn231220674
231215A,00h39m00s +57° 39',3,Swift,y,y,y,,,y?,9.75,57.65,35245.27,True,bn231215408
231214A,20h22m57s -72° 26',3,Swift,y,y,,,,,305.73749999999995,-72.43333333333334,73468.31,True,bn231214850
231205A,13h31m45s +17° 56',58*2.4,IPN,y,,,,,,202.9375,17.933333333333334,8711.41,True,bn231205101
231129C,00h47m38s -81° 38',4,MAXI,y,y,,,,,11.908333333333331,-81.63333333333334,69018.11,True,bn231129799
231118A,00h19m22s -48° 02',3,Swift,y,y,y,y,,0.8304,4.841666666666666,-48.03333333333333,62193.2,True,bn231118720
231104A,01h35m09s +83° 37',3,Swift,y,y,,,,,23.7875,83.61666666666666,6459.91,True,bn231104075
231028A,14h16m07s +20° 54',3,Swift,y,,,,,,214.02916666666664,20.9,14949.55,True,bn231028173
231020A,20h57m58s -29° 15',138*2,IPN,y,,,,,,314.4916666666666,-29.25,68218.3,True,bn231020790
231018A,00h04m29s +47° 25',752*38,IPN,y,,,,,,1.1208333333333331,47.41666666666666,45010.66,True,bn231018521
231017A,05h44m46s +56° 40',6,Swift,y,,,,,,86.19166666666666,56.66666666666666,29103.3,True,bn231017337
230913A,17h49m23s +74° 29',5,Swift,y,,,,,,267.3458333333333,74.48333333333333,28572.16,True,bn230913331
230906A,05h19m02s -47° 53',12*2,IPN,y,?,,,,,79.75833333333333,-47.88333333333333,46507.15,True,bn230906538
230903A,00h39m42s -40° 55',3,Swift,y,y,?,,,,9.925,-40.91666666666666,62576.24,True,bn230903724
230826A,05h32m03s +66° 07',3,Swift,y,y,,,,,83.01249999999999,66.11666666666666,70367.07,True,bn230826814
230818A,19h03m32s +40° 53',3,Swift,y,y,y,n,,2.42,285.8833333333333,40.88333333333333,84454.35,True,bn230818977
230815A,12h18m54s -58° 03',3,Swift,y,y,y,,,,184.725,-58.05,38995.94,True,bn230815451
230812B,17h48m25s +11° 39',3,Swift,y,y,y,y,,0.360,267.10416666666663,11.65,68292.05,True,bn230812790
230805B,13h50m59s +31° 11',3,Swift,y,y,y,,,,207.7458333333333,31.183333333333334,41031.07,True,bn230805475
230803A,10h02m02s -64° 59',168*3,IPN,y,,,,,,150.50833333333333,-64.98333333333333,5228.15,True,bn230803061
230802A,05h04m53s +19° 34',3,Swift,y,y,,,,,76.22083333333332,19.566666666666663,24626.16,True,bn230802285
230728A,22h54m09s +28° 09',3,Swift,y,y,,,,,343.5375,28.15,10203.22,True,bn230728118
230723B,16h41m31s -05° 20',3,Swift,y,y,,,,,250.37916666666663,-5.333333333333333,42152.88,True,bn230723488
230723A,01h31m38s -67° 04',126*2,IPN,y,,,,,,22.90833333333333,-67.06666666666666,16723.47,True,bn230723194
230707A,11h32m48s -16° 25',3,Swift,y,,,,,,173.2,-16.416666666666668,12171.96,True,bn230707141
230510B,00h02m46s +27° 32',10,MAXI,y,,,,,,0.6916666666666665,27.53333333333333,76894.01,True,bn230510890
230510A,21h12m37s +34° 27',3,Swift,y,y,y,,,,318.1541666666666,34.45,43588.58,True,bn230510503
230506C,08h57m30s +45° 08',3,Swift,y,y,?,,,,134.37499999999997,45.13333333333333,61759.35,True,bn230506715
230421A,02h46m49s +01° 07',5,Swift,y,,,,,,41.70416666666666,1.1166666666666667,34966.37,True,bn230421405
230405B,18h05m52s -47° 04',3,Swift,y,y,,,,,271.4666666666666,-47.06666666666667,71883.5,True,bn230405832
230328B,19h23m57s +80° 01',3,Swift,y,y,y,,,,290.98749999999995,80.01666666666667,53688.54,True,bn230328621
230307A,04h03m17s -75° 23',10*4,IPN,y,y,y,y,,,60.82083333333332,-75.38333333333334,56646.67,True,bn230307656
230304B,07h21m46s -02° 07',24*6.5,IPN,y,,,,,,110.44166666666663,-2.1166666666666667,52549.14,True,bn230304608
230228A,01h13m37s +44° 29',3,Swift,y,y,,,,,18.40416666666667,44.48333333333333,21050.25,True,bn230228244
230209B,05h57m28s +29° 12',144*7,IPN,y,,,,,,89.36666666666666,29.2,81156.89,True,bn230209939
230111A,21h20m45s -30° 29',60,MAXI,y,,,,,,320.18749999999994,-30.48333333333333,68862.9,True,bn230111797
221231A,22h25m02s +25° 08',5,Swift,y,y,,,,,336.25833333333327,25.133333333333333,78365.13,True,bn221231907
221226B,01h31m40s -41° 33',3,Swift,y,y,y,,,2.694,22.91666666666666,-41.55,81680.06,True,bn221226945
221216A,21h44m05s -34° 24',3,Swift,y,y,,,,,326.0208333333333,-34.4,40880.95,True,bn221216473
221215A,10h20m13s +46° 52',3,Swift,y,,,,,,155.05416666666665,46.86666666666667,15267.97,True,bn221215177
221209A,15h26m34s +49° 51',137*15,IPN,y,,,,,,231.64166666666665,49.85,21024.85,True,bn221209243
221206B,16h44m37s +42° 40',4,Swift,y,,,,,,251.15416666666664,42.66666666666666,44567.36,True,bn221206516
221201A,17h47m44s -68° 16',3,Swift,y,y,,,,,266.9333333333333,-68.26666666666667,44705.68,True,bn221201517
221121A,10h52m25s +69° 21',114*9,IPN,y,,,,,,163.10416666666666,69.35,23689.74,True,bn221121274
221024A,11h18m52s +33° 02',3,Swift,y,y,y,,,,169.71666666666667,33.03333333333333,46827.12,True,bn221024542
221022A,07h53m22s -05° 07',5,Swift,y,,,,,,118.34166666666664,-5.116666666666666,70413.55,True,bn221022815
221016A,02h35m48s -34° 37',3,Swift,y,y,y,,,,38.95,-34.61666666666667,85164.19,True,bn221016986
220927A,06h03m52s -22° 57',306*20,IPN,y,,,,,,90.96666666666664,-22.95,20180.95,True,bn220927234
220909A,14h24m11s -08° 51',3,Swift,y,,,,,,216.0458333333333,-8.85,24733.82,True,bn220909286
220907A,17h55m29s -20° 19',3,Swift,y,y,,,,,268.8708333333333,-20.316666666666663,50725.76,True,bn220907587
220905A,23h00m48s -35° 24',180,IPN,y,,,,,,345.19999999999993,-35.4,41323.7,True,bn220905478
220903A,11h55m11s -29° 42',236*38,IPN,y,,,,,,178.7958333333333,-29.7,44178.17,True,bn220903511
220826A,13h45m44s -44° 03',3,Swift,y,y,y,,,,206.4333333333333,-44.05,42921.74,True,bn220826497
220715B,16h59m33s -33° 36',3,Swift,y,y,,,,,254.8875,-33.6,80682.17,True,bn220715934
220714B,03h08m17s -19° 20',3,Swift,y,y,y,,,,47.070833333333326,-19.33333333333333,50284.55,True,bn220714582
220711B,17h27m58s +24° 40',3,Swift,y,y,y,,,,261.9916666666666,24.666666666666668,65788.69,True,bn220711761
220618A,02h35m52s +55° 13',3,Swift,y,y,,,,,38.96666666666666,55.21666666666667,33029.92,True,bn220618382
220525A,00h53m28s +16° 24',480*25,IPN,y,,,,,,13.366666666666664,16.4,654.24,True,bn220525008
220521A,18h20m47s +10° 23',3,Swift,y,y,y,,,5.6,275.1958333333333,10.383333333333333,84021.44,True,bn220521972
220514A,09h50m44s +13° 10',3,INTEGRAL,y,,y,,,,147.68333333333334,13.166666666666666,44670.53,True,bn220514517
220511A,19h09m47s +17° 44',7,Swift,y,y,,,,,287.44583333333327,17.733333333333334,49316.87,True,bn220511571
220501A,05h42m18s +14° 02',3,Swift,y,,,,,,85.57499999999999,14.033333333333331,71511.22,True,bn220501828
220426A,22h34m46s -23° 00',96*14,IPN,y,,,,,,338.6916666666666,-23.0,24591.23,True,bn220426285
220408B,06h10m09s -49° 37',240*48,IPN,y,,,,,,92.5375,-49.61666666666667,26884.65,True,bn220408311
220408A,13h29m36s +47° 04',3,Swift,y,y,y,,,,202.39999999999995,47.06666666666667,20764.22,True,bn220408240
220403C,01h10m17s -56° 14',18*4,IPN,y,,,,,,17.570833333333333,-56.23333333333333,36602.66,True,bn220403424
220403B,12h44m06s +89° 10',3,Swift,y,y,y,,,,191.025,89.16666666666667,74562.65,True,bn220403863
220311A,10h31m54s +66° 05',3,INTEGRAL,y,,,,,,157.975,66.08333333333333,59598.4,True,bn220311690
220310C,19h20m17s +40° 15',5,Swift,y,,,,,,290.0708333333333,40.25,80631.43,True,bn220310933
220306B,00h21m31s +71° 21',3,Swift,y,y,y,,,,5.3791666666666655,71.35,65737.47,True,bn220306761
220305B,11h44m27s -32° 33',729*4,IPN,y,,,,,,176.11249999999998,-32.55,41600.48,True,bn220305481
220305A,07h10m20s -37° 42',3,Swift,y,y,,,,,107.58333333333331,-37.7,58388.61,True,bn220305676
220219A,02h48m58s +10° 35',786*3,IPN,,,,,,,42.24166666666666,10.583333333333334,40894.1,True,bn220219473
220210A,23h03m07s +61° 50',2,Swift,y,,,,,,345.77916666666664,61.833333333333336,86198.37,True,bn220210998
220118A,12h49m06s +22° 55',3,Swift,y,y,y,,,,192.275,22.916666666666668,66038.09,True,bn220118764
220107A,11h19m03s +34° 08',10,Swift,y,y,y,,,1.246,169.76249999999996,34.13333333333333,53131.93,True,bn220107615
